full_name,country,years_old,gender,type_beer,lupulo, alcohol
Padget McGurgan,Japan,34,1,Oscura,0.04-0.063,0.05
Arney Stocky,Canada,61,1,Michelada,0.04-0.063,0.06
Odessa Cammish,France,45,0,Light,0.135-0.15,0.04
Vlad Colter,United States,22,1,Oscura,0.08-0.09,0.04
Shana Bernini,Japan,29,0,Malta_saborizada,0.135-0.15,0.04
Ajay Skeat,United States,56,0,Light,0.08-0.09,0.06
Marissa Giacoppoli,Japan,38,0,Oscura,0.16-0.21,0.05
Rem Cumes,France,36,1,Malta_saborizada,0.04-0.063,0.04
Chandra Spurrier,Japan,25,0,Michelada,0.16-0.21,0.05
Darb Veltmann,Germany,31,1,Malta_saborizada,0.16-0.21,0.06
Andree Esplin,United States,67,0,Malta_saborizada,0.135-0.15,0.03
Mureil Merring,United States,30,0,Michelada,0.04-0.063,0.05
Pearle Klaes,France,18,0,Light,0.135-0.15,0.05
Travis Marquand,France,44,1,Light,0.08-0.09,0.03
Northrop Crowther,France,69,1,Michelada,0.16-0.21,0.04
Pebrook Brunroth,United States,55,1,Michelada,0.04-0.063,0.04
Darla Ladlow,Japan,32,0,Oscura,0.135-0.15,0.05
Mathias Fere,Japan,51,1,Michelada,0.04-0.063,0.03
Eli Stringfellow,Japan,33,1,Light,0.08-0.09,0.04
Ellissa Halligan,United States,46,0,Michelada,0.16-0.21,0.04
Cacilie Graddon,Canada,56,0,Michelada,0.135-0.15,0.06
Aurora Staning,United States,38,0,Light,0.135-0.15,0.05
Micky Cusworth,United Kingdom,59,1,Light,0.16-0.21,0.03
Elwood Arendt,France,30,1,Oscura,0.16-0.21,0.06
Karly Snepp,Germany,42,0,Oscura,0.04-0.063,0.03
Margarita Bensusan,United States,27,0,Malta_saborizada,0.08-0.09,0.04
Pierson Primrose,Japan,19,1,Malta_saborizada,0.135-0.15,0.05
Nikoletta Wrankling,Canada,29,0,Malta_saborizada,0.135-0.15,0.04
Bay Chell,France,53,1,Malta_saborizada,0.135-0.15,0.05
Hobie Hingeley,France,30,1,Oscura,0.04-0.063,0.05
Aggie Cherry,France,54,0,Light,0.08-0.09,0.03
Keith Twallin,United Kingdom,18,1,Malta_saborizada,0.04-0.063,0.03
Tudor Pancast,Japan,67,1,Malta_saborizada,0.135-0.15,0.06
Freida Orwell,United States,66,0,Light,0.16-0.21,0.05
Mohandas Baynham,France,56,1,Oscura,0.08-0.09,0.03
Andrei Chalfont,Canada,40,0,Oscura,0.08-0.09,0.04
Conan Brandino,Canada,70,1,Malta_saborizada,0.135-0.15,0.04
Prisca Ferries,United States,38,0,Light,0.16-0.21,0.06
Ahmed Tudor,France,39,1,Oscura,0.135-0.15,0.03
Burk Bloxham,Germany,67,1,Oscura,0.08-0.09,0.03
Bevvy Sheavills,United States,62,0,Oscura,0.135-0.15,0.06
Basile Cristou,Canada,60,1,Oscura,0.135-0.15,0.06
Coop Speenden,United States,24,1,Oscura,0.08-0.09,0.06
Siffre Sheard,United States,55,1,Light,0.135-0.15,0.04
Elene Lethieulier,France,70,0,Malta_saborizada,0.16-0.21,0.05
Nisse Dryburgh,Japan,70,0,Michelada,0.08-0.09,0.04
Reyna Elwin,Canada,55,0,Malta_saborizada,0.04-0.063,0.04
Pryce Bamborough,United States,69,1,Light,0.16-0.21,0.03
Lynde Dobrowski,France,56,0,Malta_saborizada,0.135-0.15,0.03
Branden Grigoroni,Japan,24,1,Michelada,0.04-0.063,0.04
Radcliffe Carmo,United Kingdom,18,1,Michelada,0.08-0.09,0.03
Betta Stratten,United States,61,0,Oscura,0.04-0.063,0.05
Lowell Bloxsome,France,64,1,Oscura,0.04-0.063,0.06
Ulrica Edmans,France,67,0,Light,0.16-0.21,0.05
Esther Capes,United States,54,0,Malta_saborizada,0.16-0.21,0.05
Renie Bevington,United States,26,0,Oscura,0.04-0.063,0.06
Vaughan Ogilvy,Canada,42,1,Malta_saborizada,0.135-0.15,0.06
Blaine Slate,United States,53,1,Michelada,0.16-0.21,0.05
Tallie Amar,Canada,62,1,Malta_saborizada,0.08-0.09,0.06
Wildon Olley,United Kingdom,37,1,Light,0.16-0.21,0.06
Miles Pullin,Japan,38,1,Malta_saborizada,0.08-0.09,0.06
Maxine Johann,United States,26,0,Michelada,0.08-0.09,0.04
Corene Donaldson,United States,23,0,Malta_saborizada,0.16-0.21,0.05
Rad Formigli,France,40,1,Light,0.08-0.09,0.03
Andrej Heinreich,Canada,58,1,Oscura,0.135-0.15,0.04
Karrah Elleyne,France,41,0,Michelada,0.16-0.21,0.06
Kimberley Espie,France,63,0,Light,0.16-0.21,0.05
Jule Kline,Canada,33,1,Light,0.16-0.21,0.03
Marjy Almack,France,50,0,Malta_saborizada,0.08-0.09,0.03
Hedwiga Tippett,France,48,0,Malta_saborizada,0.16-0.21,0.04
Frederigo Monelle,United States,51,1,Oscura,0.08-0.09,0.05
Raff Bassil,Japan,53,1,Michelada,0.135-0.15,0.04
Freddie Rowbottam,France,25,0,Light,0.16-0.21,0.03
Zeke Penhale,France,43,1,Light,0.08-0.09,0.03
Hayward Fochs,France,59,1,Oscura,0.16-0.21,0.03
Sherrie Atcherley,France,63,0,Michelada,0.08-0.09,0.03
Vania McGriffin,Japan,67,0,Malta_saborizada,0.08-0.09,0.05
Anetta Bizzey,France,18,0,Oscura,0.16-0.21,0.05
Genovera Doniso,United States,27,0,Malta_saborizada,0.16-0.21,0.05
Jorge Grigoliis,Canada,25,1,Light,0.135-0.15,0.04
Nessie Schiementz,United States,45,0,Michelada,0.135-0.15,0.06
Kristan Danihelka,Canada,54,0,Michelada,0.04-0.063,0.03
Di Cooksley,France,54,0,Oscura,0.135-0.15,0.04
Paulina Fyndon,Canada,60,0,Michelada,0.08-0.09,0.03
Sabine Gaitung,Canada,26,0,Light,0.16-0.21,0.06
Burl Blade,France,33,1,Oscura,0.08-0.09,0.06
Amory Rohan,Japan,48,1,Light,0.04-0.063,0.05
Darryl Volet,Japan,26,1,Malta_saborizada,0.135-0.15,0.04
Goldina Grigoroni,France,53,0,Michelada,0.135-0.15,0.05
Toma Vanlint,France,70,0,Michelada,0.08-0.09,0.04
Athena Ege,Canada,30,0,Light,0.135-0.15,0.04
Gene De Beneditti,United States,66,0,Michelada,0.08-0.09,0.04
Lurline Fellow,United States,42,0,Light,0.08-0.09,0.04
Pam Apark,Italy,46,0,Malta_saborizada,0.16-0.21,0.05
Carny O'Curneen,Japan,38,1,Michelada,0.04-0.063,0.06
Emery Esplin,Japan,58,1,Oscura,0.16-0.21,0.03
Catlin Livermore,Japan,46,0,Malta_saborizada,0.04-0.063,0.06
Ilario Malser,France,29,1,Malta_saborizada,0.16-0.21,0.06
Vilma Middlewick,France,32,0,Light,0.16-0.21,0.04
Grace Loveman,France,66,0,Light,0.08-0.09,0.06
Virgilio Dutchburn,France,61,1,Malta_saborizada,0.135-0.15,0.06
Hamlin Forrestor,France,31,1,Malta_saborizada,0.08-0.09,0.04
Harvey Wiszniewski,Italy,60,1,Oscura,0.08-0.09,0.04
Elvin Sharvill,United States,38,1,Malta_saborizada,0.04-0.063,0.03
Pryce Dunguy,Japan,66,1,Light,0.04-0.063,0.04
Keith Pisculli,United States,23,1,Oscura,0.08-0.09,0.05
Orelee Seaton,France,26,0,Malta_saborizada,0.16-0.21,0.03
Basilius Toleman,Japan,21,1,Oscura,0.04-0.063,0.04
Alexio Herrema,France,57,1,Malta_saborizada,0.16-0.21,0.05
Doreen Sherlaw,Japan,54,0,Light,0.04-0.063,0.03
Patsy Cleveland,France,68,0,Michelada,0.135-0.15,0.03
Abe Karpmann,Germany,30,1,Malta_saborizada,0.04-0.063,0.06
Wallie Tille,France,36,1,Michelada,0.16-0.21,0.03
Zuzana Greenwell,France,47,0,Light,0.135-0.15,0.03
Charlie Broschke,Germany,48,1,Michelada,0.04-0.063,0.05
Vere Battin,Canada,38,0,Michelada,0.08-0.09,0.03
Ronald Gonnard,France,38,1,Oscura,0.04-0.063,0.06
Forbes Megson,France,70,1,Michelada,0.16-0.21,0.04
Dion Wabey,Canada,36,0,Michelada,0.135-0.15,0.06
Agnesse Weal,United States,57,0,Malta_saborizada,0.16-0.21,0.06
Hewett Fosdick,Japan,50,1,Light,0.08-0.09,0.04
Wang Davis,Japan,18,1,Michelada,0.16-0.21,0.04
Myrta Sabine,France,69,0,Oscura,0.04-0.063,0.03
Florie Simmens,Japan,30,0,Oscura,0.04-0.063,0.03
Idalia Birtles,United States,69,0,Malta_saborizada,0.04-0.063,0.05
Letisha Fosh,Canada,57,0,Oscura,0.135-0.15,0.04
Florina Vearnals,Japan,47,0,Malta_saborizada,0.08-0.09,0.04
Jacqueline Ivashinnikov,Canada,59,0,Michelada,0.135-0.15,0.05
Danna Pargiter,United States,45,0,Light,0.04-0.063,0.04
Ara Chaff,United States,58,1,Oscura,0.16-0.21,0.05
Brunhilda Haughian,France,26,0,Malta_saborizada,0.16-0.21,0.05
Malcolm Jellicorse,France,19,1,Malta_saborizada,0.08-0.09,0.06
Peggi Rantoul,Japan,63,0,Light,0.08-0.09,0.03
Hersch Sacher,France,20,1,Light,0.08-0.09,0.04
Jerrilyn Leverage,Canada,64,0,Light,0.16-0.21,0.03
Zeke Croker,France,23,1,Malta_saborizada,0.16-0.21,0.03
Lisle Eppson,Japan,22,1,Michelada,0.08-0.09,0.04
Jamaal Stare,Japan,24,1,Michelada,0.16-0.21,0.04
Dulci Minet,Japan,32,0,Light,0.135-0.15,0.04
Miguel Casterou,France,42,1,Oscura,0.04-0.063,0.05
Bert Frostdick,France,41,0,Michelada,0.135-0.15,0.03
Zitella Mattiessen,France,49,0,Malta_saborizada,0.135-0.15,0.03
Lian Votier,Canada,31,0,Light,0.135-0.15,0.06
Claudette Klais,France,64,0,Michelada,0.135-0.15,0.05
Ricki Cribbins,France,69,1,Malta_saborizada,0.16-0.21,0.06
Elroy Look,France,30,1,Malta_saborizada,0.08-0.09,0.03
Tania Pitrelli,United States,65,0,Light,0.16-0.21,0.05
Marcelline Edginton,Japan,47,0,Michelada,0.04-0.063,0.04
Alica Stirrup,United States,47,0,Light,0.04-0.063,0.03
Maryl Perritt,Japan,19,0,Michelada,0.16-0.21,0.03
Agnese Stenhouse,France,34,0,Light,0.135-0.15,0.03
Ax Noor,France,70,1,Oscura,0.04-0.063,0.06
Daren Bleything,France,39,1,Light,0.08-0.09,0.06
Merrile Baruch,Japan,40,0,Light,0.08-0.09,0.04
Adaline Yandell,Japan,45,0,Malta_saborizada,0.16-0.21,0.03
Lowrance Baird,United States,54,1,Oscura,0.04-0.063,0.03
Monika Stepto,France,58,0,Light,0.04-0.063,0.03
Ardath Sor,France,36,0,Michelada,0.135-0.15,0.04
Isa Corser,Canada,19,0,Michelada,0.135-0.15,0.05
Betsey McQuillen,United States,33,0,Michelada,0.135-0.15,0.04
Flin Ferryn,Japan,21,1,Michelada,0.04-0.063,0.06
Gabriella Knagges,Japan,45,0,Light,0.08-0.09,0.06
Nicolais Marcone,France,67,1,Light,0.135-0.15,0.03
Brand Labbett,France,60,1,Light,0.08-0.09,0.03
Bibbye Boddam,France,24,0,Michelada,0.04-0.063,0.04
Debee Grise,United States,43,0,Michelada,0.08-0.09,0.03
Quinn Keelan,France,50,1,Oscura,0.135-0.15,0.05
Phebe Dunlop,Canada,47,0,Oscura,0.04-0.063,0.03
Arther Trobridge,France,31,1,Oscura,0.08-0.09,0.06
Lexine Godier,Japan,53,0,Michelada,0.08-0.09,0.04
Keely Vasser,Japan,60,0,Light,0.04-0.063,0.06
Petrina Rodolfi,Canada,45,0,Oscura,0.04-0.063,0.04
Jean Lamcken,Japan,68,0,Michelada,0.04-0.063,0.04
Xymenes Gloyens,United States,23,1,Malta_saborizada,0.08-0.09,0.03
Gusti Rispin,France,30,0,Michelada,0.16-0.21,0.03
Ardyth Giamo,Japan,68,0,Michelada,0.04-0.063,0.06
Corina Yushkov,Canada,26,0,Malta_saborizada,0.08-0.09,0.06
Amata Gideon,France,34,0,Oscura,0.135-0.15,0.05
Tobye Elbourn,Japan,37,0,Malta_saborizada,0.16-0.21,0.03
Judon Pearne,United States,24,1,Light,0.135-0.15,0.04
Burgess Ribey,Canada,33,1,Oscura,0.08-0.09,0.04
Tann Parcells,France,70,1,Malta_saborizada,0.04-0.063,0.04
Allan Antognoni,Japan,42,1,Light,0.135-0.15,0.06
Tessa Nicholes,Germany,66,0,Michelada,0.135-0.15,0.06
Gannon Conaghan,France,59,1,Michelada,0.135-0.15,0.05
Delila Keningham,Japan,41,0,Malta_saborizada,0.16-0.21,0.05
Troy Danilovich,France,34,1,Light,0.16-0.21,0.04
Hoyt Redon,Germany,27,1,Oscura,0.08-0.09,0.06
Kimberly Allewell,France,49,0,Oscura,0.08-0.09,0.04
Rad Gandar,Japan,35,1,Oscura,0.08-0.09,0.03
George Crowter,United States,61,0,Malta_saborizada,0.04-0.063,0.05
Pavia Williams,United Kingdom,39,0,Oscura,0.04-0.063,0.06
Jordon Bowgen,United States,52,1,Michelada,0.135-0.15,0.05
Kale Eaken,Canada,44,1,Oscura,0.08-0.09,0.04
Kain Gierke,France,35,1,Malta_saborizada,0.04-0.063,0.03
Wilbur Boyde,Canada,33,1,Light,0.135-0.15,0.05
Blondie Itzkovich,Japan,21,0,Malta_saborizada,0.16-0.21,0.05
Emmet Brolechan,Canada,36,1,Michelada,0.135-0.15,0.06
Moises Berardt,France,67,1,Light,0.04-0.063,0.05
Noach Kenningley,United States,21,1,Light,0.16-0.21,0.04
Evyn Belchamber,Japan,68,1,Oscura,0.16-0.21,0.04
Hugo Larderot,France,21,1,Malta_saborizada,0.16-0.21,0.04
Kyle Beange,France,22,0,Malta_saborizada,0.16-0.21,0.03
Terra Ziemsen,France,35,0,Light,0.04-0.063,0.03
Reynard Martinez,United States,29,1,Malta_saborizada,0.04-0.063,0.05
Natale Jaquest,United States,68,1,Oscura,0.16-0.21,0.04
Marielle L'Archer,Japan,39,0,Oscura,0.16-0.21,0.04
Whitney Chastney,France,35,1,Oscura,0.08-0.09,0.05
Elijah Thay,United States,58,1,Oscura,0.16-0.21,0.04
Jeane Olyunin,France,32,0,Michelada,0.08-0.09,0.06
Benny Jindra,France,60,1,Light,0.08-0.09,0.04
Corby Pettwood,United States,37,1,Oscura,0.135-0.15,0.06
Damara Pallant,Japan,61,0,Light,0.135-0.15,0.05
Jarred Awmack,United Kingdom,63,1,Michelada,0.16-0.21,0.05
Irene Timberlake,Japan,69,0,Malta_saborizada,0.04-0.063,0.04
Stephen Mougel,Japan,55,1,Malta_saborizada,0.135-0.15,0.04
Jameson Trowsdall,United States,70,1,Malta_saborizada,0.16-0.21,0.03
Leticia Bartlomiej,Italy,43,0,Malta_saborizada,0.04-0.063,0.04
Warren Watford,Japan,37,1,Oscura,0.08-0.09,0.05
Georgeta Byfford,United States,55,0,Light,0.04-0.063,0.04
Rutledge Seeviour,Japan,27,1,Oscura,0.135-0.15,0.06
Gar Vondrak,France,26,1,Malta_saborizada,0.135-0.15,0.04
Arnaldo Brimicombe,Japan,35,1,Malta_saborizada,0.08-0.09,0.04
Emmett Dun,United States,59,1,Malta_saborizada,0.16-0.21,0.06
Abe Aslet,United States,64,1,Michelada,0.16-0.21,0.03
Belinda Skeel,Japan,69,0,Light,0.135-0.15,0.05
Cathe Instone,France,24,0,Malta_saborizada,0.135-0.15,0.04
Eleen Baggaley,Japan,39,0,Malta_saborizada,0.135-0.15,0.05
Gaby Fretson,Japan,66,1,Michelada,0.16-0.21,0.03
Nickey Frankel,United States,60,1,Michelada,0.08-0.09,0.05
Emmerich Gaskins,Canada,25,1,Oscura,0.04-0.063,0.05
Wanda Cabera,United States,55,0,Malta_saborizada,0.04-0.063,0.05
Paquito Bathurst,Canada,47,1,Light,0.08-0.09,0.04
Catherin Irving,France,57,0,Michelada,0.135-0.15,0.03
Merridie Michelotti,United States,56,0,Malta_saborizada,0.16-0.21,0.06
Horst Fowkes,United Kingdom,40,1,Malta_saborizada,0.04-0.063,0.06
Emlyn Bumphries,Canada,56,1,Malta_saborizada,0.16-0.21,0.05
Emanuel Muge,United States,20,1,Michelada,0.08-0.09,0.03
Kaylil Puddifer,France,70,0,Light,0.16-0.21,0.03
Troy Mirrlees,Japan,37,1,Light,0.04-0.063,0.06
Tobin Golston,United States,65,1,Malta_saborizada,0.135-0.15,0.03
